"","X2018.12","X2019.12","X2020.12"
"매출액",896,575,869
"매출원가",666,441,688
"매출총이익",230,134,181
"판매비와관리비",100,74,86
"인건비",65,55,63
"유무형자산상각비",1,3,3
"연구개발비",6,5,6
"광고선전비",0,0,0
"판매비",-11,-6,1
"관리비",39,17,14
"기타원가성비용",NA,NA,NA
"기타",0,0,NA
"영업이익",129,59,95
"영업이익(발표기준)",129,59,95
"금융수익",27,23,59
"이자수익",2,2,1
"배당금수익",0,NA,NA
"외환이익",25,20,45
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,2,12
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",36,18,46
"이자비용",3,2,2
"외환손실",30,16,44
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",0,NA,NA
"금융자산평가손실",3,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",1,0,0
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,NA,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",1,2,4
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,NA,NA
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,0,0
"충당부채전입액",NA,0,0
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",119,62,103
"법인세비용",26,14,23
"계속영업이익",93,48,81
"중단영업이익",NA,NA,NA
"당기순이익",93,48,81
"지배주주순이익",93,48,80
"비지배주주순이익",0,0,1
"자산",871,1011,955
"유동자산",773,916,839
"재고자산",75,128,117
"유동생물자산",NA,NA,NA
"유동금융자산",109,96,91
"매출채권및기타유동채권",117,68,124
"당기법인세자산",0,0,0
"계약자산",228,363,332
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",36,80,82
"현금및현금성자산",207,181,94
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",99,95,116
"유형자산",42,44,43
"무형자산",0,0,0
"비유동생물자산",NA,NA,NA
"투자부동산",28,27,27
"장기금융자산",12,11,39
"관계기업등지분관련투자자산",9,7,NA
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",8,6,7
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",353,487,393
"유동부채",347,479,385
"단기사채",NA,NA,NA
"단기차입금",19,16,15
"유동성장기부채",15,NA,NA
"유동금융부채",NA,1,1
"매입채무및기타유동채무",286,455,349
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",13,7,17
"계약부채",14,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",0,1,3
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",6,8,7
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,1,0
"장기매입채무및기타비유동채무",1,1,1
"비유동종업원급여충당부채",5,6,6
"기타장기충당부채",NA,0,0
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,0,0
