"","Price"
"2019-02-13",15300
"2019-02-14",16000
"2019-02-15",15650
"2019-02-18",15750
"2019-02-19",15550
"2019-02-20",15250
"2019-02-21",15100
"2019-02-22",14850
"2019-02-25",14900
"2019-02-26",14700
"2019-02-27",14800
"2019-02-28",14800
"2019-03-04",14400
"2019-03-05",14250
"2019-03-06",14350
"2019-03-07",14200
"2019-03-08",14000
"2019-03-11",14150
"2019-03-12",14400
"2019-03-13",14550
"2019-03-14",14350
"2019-03-15",14850
"2019-03-18",14950
"2019-03-19",14900
"2019-03-20",15000
"2019-03-21",14650
"2019-03-22",14050
"2019-03-25",13400
"2019-03-26",13350
"2019-03-27",13500
"2019-03-28",13550
"2019-03-29",13750
"2019-04-01",14150
"2019-04-02",14250
"2019-04-03",14400
"2019-04-04",14450
"2019-04-05",14400
"2019-04-08",14300
"2019-04-09",14350
"2019-04-10",14350
"2019-04-11",14350
"2019-04-12",14300
"2019-04-15",14300
"2019-04-16",14200
"2019-04-17",14150
"2019-04-18",14000
"2019-04-19",13950
"2019-04-22",13850
"2019-04-23",14000
"2019-04-24",13850
"2019-04-25",14000
"2019-04-26",13850
"2019-04-29",14000
"2019-04-30",13850
"2019-05-02",14200
"2019-05-03",13950
"2019-05-07",14050
"2019-05-08",14050
"2019-05-09",13850
"2019-05-10",13800
"2019-05-13",13600
"2019-05-14",13700
"2019-05-15",13850
"2019-05-16",13800
"2019-05-17",13700
"2019-05-20",13750
"2019-05-21",13850
"2019-05-22",14050
"2019-05-23",13950
"2019-05-24",14250
"2019-05-27",14100
"2019-05-28",14150
"2019-05-29",14000
"2019-05-30",14100
"2019-05-31",13900
"2019-06-03",14000
"2019-06-04",14100
"2019-06-05",13850
"2019-06-07",13750
"2019-06-10",13850
"2019-06-11",13900
"2019-06-12",14000
"2019-06-13",14000
"2019-06-14",13950
"2019-06-17",14100
"2019-06-18",14100
"2019-06-19",14400
"2019-06-20",14400
"2019-06-21",14000
"2019-06-24",14050
"2019-06-25",13950
"2019-06-26",14000
"2019-06-27",14100
"2019-06-28",14050
"2019-07-01",14000
"2019-07-02",14050
"2019-07-03",13900
"2019-07-04",14000
"2019-07-05",14050
"2019-07-08",13850
"2019-07-09",13700
"2019-07-10",13650
"2019-07-11",13900
"2019-07-12",13850
"2019-07-15",13800
"2019-07-16",13900
"2019-07-17",13800
"2019-07-18",13800
"2019-07-19",13800
"2019-07-22",13800
"2019-07-23",14000
"2019-07-24",14000
"2019-07-25",13700
"2019-07-26",13500
"2019-07-29",13150
"2019-07-30",13050
"2019-07-31",13100
"2019-08-01",13100
"2019-08-02",12550
"2019-08-05",12500
"2019-08-06",12250
"2019-08-07",12100
"2019-08-08",12100
"2019-08-09",12150
"2019-08-12",11950
"2019-08-13",11750
"2019-08-14",11600
"2019-08-16",11300
"2019-08-19",11600
"2019-08-20",11600
"2019-08-21",11600
"2019-08-22",11650
"2019-08-23",11550
"2019-08-26",11550
"2019-08-27",11250
"2019-08-28",11200
"2019-08-29",11250
"2019-08-30",11900
"2019-09-02",11900
"2019-09-03",11900
"2019-09-04",12100
"2019-09-05",12050
"2019-09-06",12050
"2019-09-09",12100
"2019-09-10",12350
"2019-09-11",12450
"2019-09-16",12600
"2019-09-17",12550
"2019-09-18",12550
"2019-09-19",12400
"2019-09-20",12600
"2019-09-23",12500
"2019-09-24",12600
"2019-09-25",12400
"2019-09-26",12600
"2019-09-27",12100
"2019-09-30",12450
"2019-10-01",12300
"2019-10-02",11900
"2019-10-04",11900
"2019-10-07",11750
"2019-10-08",11750
"2019-10-10",11200
"2019-10-11",11500
"2019-10-14",11800
"2019-10-15",11700
"2019-10-16",11800
"2019-10-17",12100
"2019-10-18",12050
"2019-10-21",12150
"2019-10-22",12600
"2019-10-23",12350
"2019-10-24",12450
"2019-10-25",12400
"2019-10-28",12000
"2019-10-29",12100
"2019-10-30",11800
"2019-10-31",11750
"2019-11-01",11800
"2019-11-04",12100
"2019-11-05",12100
"2019-11-06",12100
"2019-11-07",12300
"2019-11-08",12300
"2019-11-11",12200
"2019-11-12",12400
"2019-11-13",12100
"2019-11-14",12000
"2019-11-15",12400
"2019-11-18",12250
"2019-11-19",12200
"2019-11-20",12250
"2019-11-21",11850
"2019-11-22",12050
"2019-11-25",11950
"2019-11-26",11850
"2019-11-27",11850
"2019-11-28",11800
"2019-11-29",11700
"2019-12-02",11700
"2019-12-03",11550
"2019-12-04",11550
"2019-12-05",11400
"2019-12-06",11350
"2019-12-09",11450
"2019-12-10",11350
"2019-12-11",11350
"2019-12-12",11800
"2019-12-13",12150
"2019-12-16",11950
"2019-12-17",11850
"2019-12-18",11900
"2019-12-19",12000
"2019-12-20",12000
"2019-12-23",12150
"2019-12-24",12050
"2019-12-26",12250
"2019-12-27",11650
