"","Price"
"2018-11-05",43800
"2018-11-06",43750
"2018-11-07",44000
"2018-11-08",44050
"2018-11-09",44300
"2018-11-12",45200
"2018-11-13",44500
"2018-11-14",44100
"2018-11-15",44250
"2018-11-16",44000
"2018-11-19",43650
"2018-11-20",42800
"2018-11-21",42100
"2018-11-22",42450
"2018-11-23",42400
"2018-11-26",42600
"2018-11-27",43050
"2018-11-28",43150
"2018-11-29",43150
"2018-11-30",41850
"2018-12-03",43250
"2018-12-04",42150
"2018-12-05",41450
"2018-12-06",40500
"2018-12-07",40950
"2018-12-10",40200
"2018-12-11",40250
"2018-12-12",40450
"2018-12-13",40000
"2018-12-14",38950
"2018-12-17",39150
"2018-12-18",38900
"2018-12-19",39100
"2018-12-20",38650
"2018-12-21",38650
"2018-12-24",38800
"2018-12-26",38350
"2018-12-27",38250
"2018-12-28",38700
"2019-01-02",38750
"2019-01-03",37600
"2019-01-04",37450
"2019-01-07",38750
"2019-01-08",38100
"2019-01-09",39600
"2019-01-10",39800
"2019-01-11",40500
"2019-01-14",40050
"2019-01-15",41100
"2019-01-16",41450
"2019-01-17",41950
"2019-01-18",42300
"2019-01-21",42750
"2019-01-22",42150
"2019-01-23",42000
"2019-01-24",43050
"2019-01-25",44750
"2019-01-28",45050
"2019-01-29",45500
"2019-01-30",46400
"2019-01-31",46150
"2019-02-01",46350
"2019-02-07",46200
"2019-02-08",44800
"2019-02-11",45000
"2019-02-12",46050
"2019-02-13",46200
"2019-02-14",47500
"2019-02-15",46050
"2019-02-18",46200
"2019-02-19",45950
"2019-02-20",46900
"2019-02-21",46950
"2019-02-22",47150
"2019-02-25",47350
"2019-02-26",46750
"2019-02-27",46750
"2019-02-28",45100
"2019-03-04",44850
"2019-03-05",44250
"2019-03-06",44000
"2019-03-07",44450
"2019-03-08",43800
"2019-03-11",43650
"2019-03-12",44650
"2019-03-13",43850
"2019-03-14",43850
"2019-03-15",44200
"2019-03-18",43700
"2019-03-19",43900
"2019-03-20",44050
"2019-03-21",45850
"2019-03-22",46550
"2019-03-25",45500
"2019-03-26",45250
"2019-03-27",45350
"2019-03-28",44850
"2019-03-29",44650
"2019-04-01",45050
"2019-04-02",45750
"2019-04-03",46600
"2019-04-04",46950
"2019-04-05",46850
"2019-04-08",46650
"2019-04-09",46650
"2019-04-10",46700
"2019-04-11",46250
"2019-04-12",46850
"2019-04-15",47050
"2019-04-16",47250
"2019-04-17",47050
"2019-04-18",45600
"2019-04-19",45300
"2019-04-22",45350
"2019-04-23",45200
"2019-04-24",44750
"2019-04-25",44650
"2019-04-26",44850
"2019-04-29",46150
"2019-04-30",45850
"2019-05-02",45900
"2019-05-03",45300
"2019-05-07",44850
"2019-05-08",44250
"2019-05-09",42450
"2019-05-10",42900
"2019-05-13",42650
"2019-05-14",42650
"2019-05-15",42550
"2019-05-16",41550
"2019-05-17",41200
"2019-05-20",42000
"2019-05-21",43150
"2019-05-22",43500
"2019-05-23",43850
"2019-05-24",42700
"2019-05-27",42650
"2019-05-28",42550
"2019-05-29",41800
"2019-05-30",42550
"2019-05-31",42500
"2019-06-03",43800
"2019-06-04",43450
"2019-06-05",43900
"2019-06-07",44200
"2019-06-10",44800
"2019-06-11",44850
"2019-06-12",44600
"2019-06-13",43750
"2019-06-14",44000
"2019-06-17",43900
"2019-06-18",44350
"2019-06-19",45350
"2019-06-20",45500
"2019-06-21",45700
"2019-06-24",45500
