"","Price"
"2018-11-05",2540
"2018-11-06",2515
"2018-11-07",2375
"2018-11-08",2475
"2018-11-09",2485
"2018-11-12",2415
"2018-11-13",2370
"2018-11-14",2465
"2018-11-15",2540
"2018-11-16",2515
"2018-11-19",2530
"2018-11-20",2480
"2018-11-21",2435
"2018-11-22",2470
"2018-11-23",2375
"2018-11-26",2365
"2018-11-27",2355
"2018-11-28",2365
"2018-11-29",2330
"2018-11-30",2290
"2018-12-03",2300
"2018-12-04",2305
"2018-12-05",2355
"2018-12-06",2380
"2018-12-07",2420
"2018-12-10",2445
"2018-12-11",2445
"2018-12-12",2405
"2018-12-13",2410
"2018-12-14",2425
"2018-12-17",2430
"2018-12-18",2435
"2018-12-19",2495
"2018-12-20",3240
"2018-12-21",3355
"2018-12-24",2960
"2018-12-26",2885
"2018-12-27",3440
"2018-12-28",3260
"2019-01-02",3280
"2019-01-03",3400
"2019-01-04",4420
"2019-01-07",4300
"2019-01-08",4200
"2019-01-09",4265
"2019-01-10",3955
"2019-01-11",3860
"2019-01-14",3860
"2019-01-15",4000
"2019-01-16",4030
"2019-01-17",3850
"2019-01-18",3830
"2019-01-21",4000
"2019-01-22",3605
"2019-01-23",3425
"2019-01-24",3420
"2019-01-25",3610
"2019-01-28",3595
"2019-01-29",3665
"2019-01-30",3800
"2019-01-31",3630
"2019-02-01",3560
"2019-02-07",3460
"2019-02-08",3660
"2019-02-11",3985
"2019-02-12",3980
"2019-02-13",5170
"2019-02-14",5180
"2019-02-15",4950
"2019-02-18",5300
"2019-02-19",5140
"2019-02-20",4890
"2019-02-21",4945
"2019-02-22",4600
"2019-02-25",4590
"2019-02-26",4480
"2019-02-27",4615
"2019-02-28",4200
"2019-03-04",4800
"2019-03-05",4870
"2019-03-06",4810
"2019-03-07",4825
"2019-03-08",4605
"2019-03-11",4310
"2019-03-12",4350
"2019-03-13",4095
"2019-03-14",4300
"2019-03-15",4155
"2019-03-18",4165
"2019-03-19",4490
"2019-03-20",4615
"2019-03-21",4715
"2019-03-22",4605
"2019-03-25",4655
"2019-03-26",4665
"2019-03-27",4405
"2019-03-28",4360
"2019-03-29",4435
"2019-04-01",4575
"2019-04-02",4595
"2019-04-03",4620
"2019-04-04",4435
"2019-04-05",4395
"2019-04-08",4385
"2019-04-09",4450
"2019-04-10",4445
"2019-04-11",4430
"2019-04-12",4420
"2019-04-15",4295
"2019-04-16",4120
"2019-04-17",4155
"2019-04-18",4125
"2019-04-19",4365
"2019-04-22",4445
"2019-04-23",3850
"2019-04-24",3690
"2019-04-25",3750
"2019-04-26",3705
"2019-04-29",3735
"2019-04-30",3740
"2019-05-02",3785
"2019-05-03",3760
"2019-05-07",3750
"2019-05-08",3725
"2019-05-09",3475
"2019-05-10",3540
"2019-05-13",3555
"2019-05-14",3670
"2019-05-15",3995
"2019-05-16",3875
"2019-05-17",3775
"2019-05-20",4585
"2019-05-21",4370
"2019-05-22",3630
"2019-05-23",3465
"2019-05-24",3480
"2019-05-27",3330
"2019-05-28",3440
"2019-05-29",3475
"2019-05-30",3375
"2019-05-31",3390
"2019-06-03",3405
"2019-06-04",3430
"2019-06-05",3415
"2019-06-07",3485
"2019-06-10",3570
"2019-06-11",3645
"2019-06-12",3665
"2019-06-13",3645
"2019-06-14",3770
"2019-06-17",3750
"2019-06-18",3765
"2019-06-19",3695
"2019-06-20",3765
"2019-06-21",3820
"2019-06-24",3825
"2019-06-25",3775
"2019-06-26",3710
"2019-06-27",3680
"2019-06-28",3700
"2019-07-01",3730
"2019-07-02",3835
"2019-07-03",3760
"2019-07-04",3650
"2019-07-05",3685
"2019-07-08",3425
"2019-07-09",3405
"2019-07-10",3440
"2019-07-11",3490
"2019-07-12",3540
"2019-07-15",3450
"2019-07-16",3400
"2019-07-17",3275
"2019-07-18",3300
"2019-07-19",3280
"2019-07-22",3370
"2019-07-23",3280
"2019-07-24",3280
"2019-07-25",3245
"2019-07-26",3200
"2019-07-29",2840
"2019-07-30",2945
"2019-07-31",3045
"2019-08-01",3015
"2019-08-02",2955
"2019-08-05",2670
"2019-08-06",2610
"2019-08-07",2710
"2019-08-08",2915
"2019-08-09",2895
"2019-08-12",2920
"2019-08-13",2930
"2019-08-14",2900
"2019-08-16",2845
"2019-08-19",2995
"2019-08-20",3100
"2019-08-21",3130
"2019-08-22",3100
"2019-08-23",3030
"2019-08-26",2920
"2019-08-27",3190
"2019-08-28",3100
"2019-08-29",3065
"2019-08-30",3095
"2019-09-02",3065
"2019-09-03",3075
"2019-09-04",3100
"2019-09-05",3645
"2019-09-06",3560
"2019-09-09",3630
"2019-09-10",3450
"2019-09-11",3495
"2019-09-16",3480
"2019-09-17",3500
"2019-09-18",3470
"2019-09-19",3510
"2019-09-20",3590
"2019-09-23",3915
"2019-09-24",4010
"2019-09-25",3840
"2019-09-26",3730
"2019-09-27",3860
"2019-09-30",3550
"2019-10-01",3420
"2019-10-02",3395
"2019-10-04",3390
"2019-10-07",3340
"2019-10-08",3345
"2019-10-10",3220
"2019-10-11",3225
"2019-10-14",3595
"2019-10-15",3465
"2019-10-16",3480
"2019-10-17",3435
"2019-10-18",3450
"2019-10-21",3380
"2019-10-22",3325
"2019-10-23",3355
"2019-10-24",3410
"2019-10-25",3295
"2019-10-28",3290
"2019-10-29",3355
"2019-10-30",3420
"2019-10-31",3475
"2019-11-01",3400
"2019-11-04",3455
"2019-11-05",3470
"2019-11-06",3470
"2019-11-07",3470
"2019-11-08",3520
"2019-11-11",3550
"2019-11-12",3560
"2019-11-13",3600
"2019-11-14",3485
"2019-11-15",3570
"2019-11-18",3425
"2019-11-19",3365
"2019-11-20",3150
"2019-11-21",3185
"2019-11-22",3115
"2019-11-25",3190
"2019-11-26",3240
"2019-11-27",3195
"2019-11-28",3160
"2019-11-29",3140
"2019-12-02",3070
"2019-12-03",3100
"2019-12-04",3070
"2019-12-05",3015
"2019-12-06",3080
"2019-12-09",3125
"2019-12-10",3075
"2019-12-11",3150
