"","Price"
"2019-08-22",8370
"2019-08-23",8670
"2019-08-26",7820
"2019-08-27",7240
"2019-08-28",7180
"2019-08-29",7230
"2019-08-30",7320
"2019-09-02",7080
"2019-09-03",7270
"2019-09-04",7350
"2019-09-05",7250
"2019-09-06",7050
"2019-09-09",7070
"2019-09-10",7420
"2019-09-11",7500
"2019-09-16",7470
"2019-09-17",7830
"2019-09-18",7640
"2019-09-19",7490
"2019-09-20",7510
"2019-09-23",7450
"2019-09-24",7430
"2019-09-25",7070
"2019-09-26",6900
"2019-09-27",6720
"2019-09-30",6930
"2019-10-01",6790
"2019-10-02",6790
"2019-10-04",6650
"2019-10-07",6500
"2019-10-08",6560
"2019-10-10",6740
"2019-10-11",6690
"2019-10-14",6950
"2019-10-15",6820
"2019-10-16",6780
"2019-10-17",6770
"2019-10-18",6720
"2019-10-21",7000
"2019-10-22",6880
"2019-10-23",6950
"2019-10-24",6720
"2019-10-25",6570
"2019-10-28",6500
"2019-10-29",6430
"2019-10-30",6310
"2019-10-31",6370
"2019-11-01",6530
"2019-11-04",6540
"2019-11-05",6630
"2019-11-06",6550
"2019-11-07",8510
"2019-11-08",8600
"2019-11-11",10500
"2019-11-12",9370
"2019-11-13",8890
"2019-11-14",9190
"2019-11-15",9170
"2019-11-18",9380
"2019-11-19",8820
"2019-11-20",11450
"2019-11-21",11750
"2019-11-22",11450
"2019-11-25",11400
"2019-11-26",11100
"2019-11-27",10350
"2019-11-28",9970
"2019-11-29",9530
"2019-12-02",9560
"2019-12-03",9470
"2019-12-04",8960
"2019-12-05",8350
"2019-12-06",8350
"2019-12-09",9020
"2019-12-10",9360
"2019-12-11",9100
"2019-12-12",9130
"2019-12-13",9820
"2019-12-16",10350
"2019-12-17",9900
"2019-12-18",10500
"2019-12-19",10450
"2019-12-20",10000
"2019-12-23",9360
"2019-12-24",9510
"2019-12-26",9660
"2019-12-27",9910
"2019-12-30",9840
"2020-01-02",10100
"2020-01-03",9860
"2020-01-06",9660
"2020-01-07",10150
"2020-01-08",9390
"2020-01-09",9760
"2020-01-10",10100
"2020-01-13",10600
"2020-01-14",10350
"2020-01-15",10300
"2020-01-16",10400
"2020-01-17",10250
"2020-01-20",10150
"2020-01-21",9850
"2020-01-22",9830
"2020-01-23",9600
"2020-01-28",9410
"2020-01-29",9180
"2020-01-30",8810
"2020-01-31",8350
"2020-02-03",8860
"2020-02-04",9070
"2020-02-05",8900
"2020-02-06",9130
"2020-02-07",9040
"2020-02-10",9090
"2020-02-11",8970
"2020-02-12",8840
"2020-02-13",8820
"2020-02-14",8670
"2020-02-17",8470
"2020-02-18",8230
"2020-02-19",8290
"2020-02-20",8080
"2020-02-21",7900
"2020-02-24",7400
"2020-02-25",7620
"2020-02-26",7400
"2020-02-27",7300
"2020-02-28",6700
"2020-03-02",6850
"2020-03-03",7120
"2020-03-04",7420
"2020-03-05",7620
"2020-03-06",7440
"2020-03-09",6980
"2020-03-10",6850
"2020-03-11",6480
"2020-03-12",5890
"2020-03-13",4660
"2020-03-16",4500
"2020-03-17",4705
"2020-03-18",4725
"2020-03-19",4160
"2020-03-20",4410
"2020-03-23",4345
"2020-03-24",4545
"2020-03-25",4705
"2020-03-26",4950
"2020-03-27",5140
"2020-03-30",5400
"2020-03-31",5590
"2020-04-01",5610
"2020-04-02",5630
"2020-04-03",5760
"2020-04-06",5920
"2020-04-07",6050
"2020-04-08",6130
"2020-04-09",6180
"2020-04-10",6140
"2020-04-13",5930
"2020-04-14",6140
"2020-04-16",6170
"2020-04-17",6400
"2020-04-20",6370
"2020-04-21",6090
"2020-04-22",6040
"2020-04-23",6550
"2020-04-24",6490
"2020-04-27",6570
"2020-04-28",6570
"2020-04-29",6640
"2020-05-04",6540
"2020-05-06",6900
"2020-05-07",6800
"2020-05-08",6930
"2020-05-11",6930
"2020-05-12",6970
"2020-05-13",7190
"2020-05-14",7080
"2020-05-15",7250
"2020-05-18",7080
"2020-05-19",7100
"2020-05-20",7330
"2020-05-21",7790
"2020-05-22",8100
"2020-05-25",7960
"2020-05-26",9700
"2020-05-27",9350
"2020-05-28",8760
"2020-05-29",8270
"2020-06-01",8490
"2020-06-02",8400
"2020-06-03",8590
"2020-06-04",8350
"2020-06-05",8440
"2020-06-08",8450
"2020-06-09",8380
"2020-06-10",8420
"2020-06-11",8230
"2020-06-12",7800
"2020-06-15",7130
"2020-06-16",7420
"2020-06-17",7460
"2020-06-18",7400
"2020-06-19",7440
"2020-06-22",7370
"2020-06-23",7230
"2020-06-24",7460
"2020-06-25",7150
"2020-06-26",7190
"2020-06-29",6840
"2020-06-30",6900
"2020-07-01",7180
"2020-07-02",7210
"2020-07-03",7350
"2020-07-06",7380
"2020-07-07",7500
"2020-07-08",7550
"2020-07-09",7580
"2020-07-10",7420
"2020-07-13",7620
"2020-07-14",7600
"2020-07-15",7600
"2020-07-16",7670
