"","Price"
"2020-10-08",23881
"2020-10-12",26682
"2020-10-13",28083
"2020-10-14",27583
"2020-10-15",27383
"2020-10-16",27350
"2020-10-19",25882
"2020-10-20",25348
"2020-10-21",26082
"2020-10-22",26582
"2020-10-23",27316
"2020-10-26",26849
"2020-10-27",26816
"2020-10-28",27016
"2020-10-29",26916
"2020-10-30",25749
"2020-11-02",25248
"2020-11-03",25348
"2020-11-04",25815
"2020-11-05",26449
"2020-11-06",27350
"2020-11-09",26282
"2020-11-10",26416
"2020-11-11",26682
"2020-11-12",26382
"2020-11-13",26682
"2020-11-16",26549
"2020-11-17",26816
"2020-11-18",26582
"2020-11-19",28083
"2020-11-20",30685
"2020-11-23",33020
"2020-11-24",31685
"2020-11-25",30585
"2020-11-26",30518
"2020-11-27",32019
"2020-11-30",33620
"2020-12-01",33487
"2020-12-02",34954
"2020-12-03",35688
"2020-12-04",34287
"2020-12-07",34454
"2020-12-08",34854
"2020-12-09",37522
"2020-12-10",40424
"2020-12-11",40557
"2020-12-14",39023
"2020-12-15",38123
"2020-12-16",38323
"2020-12-17",38156
"2020-12-18",39357
"2020-12-21",39257
"2020-12-22",38923
"2020-12-23",39057
"2020-12-24",41291
"2020-12-28",44026
"2020-12-29",48462
"2020-12-30",56433
"2021-01-04",57034
"2021-01-05",58368
"2021-01-06",60369
"2021-01-07",60036
"2021-01-08",57968
"2021-01-11",57067
"2021-01-12",56200
"2021-01-13",57900
"2021-01-14",54500
"2021-01-15",55500
"2021-01-18",56000
"2021-01-19",56100
"2021-01-20",56300
"2021-01-21",55700
"2021-01-22",54600
"2021-01-25",55500
"2021-01-26",57300
"2021-01-27",55000
"2021-01-28",53200
"2021-01-29",50700
"2021-02-01",50500
"2021-02-02",51700
"2021-02-03",57600
"2021-02-04",64800
"2021-02-05",63300
"2021-02-08",61300
"2021-02-09",61000
"2021-02-10",66200
"2021-02-15",69000
"2021-02-16",68200
"2021-02-17",71000
"2021-02-18",70000
"2021-02-19",68100
"2021-02-22",69000
"2021-02-23",71000
"2021-02-24",69000
"2021-02-25",75000
"2021-02-26",76900
"2021-03-02",80000
"2021-03-03",79900
"2021-03-04",81400
"2021-03-05",79400
"2021-03-08",72100
"2021-03-09",68100
"2021-03-10",64700
"2021-03-11",68700
"2021-03-12",69600
"2021-03-15",66700
"2021-03-16",71300
"2021-03-17",70900
"2021-03-18",72500
"2021-03-19",73300
"2021-03-22",76600
"2021-03-23",79800
"2021-03-24",81500
"2021-03-25",80700
"2021-03-26",80000
"2021-03-29",77300
"2021-03-30",76500
"2021-03-31",74300
"2021-04-01",75600
"2021-04-02",78400
"2021-04-05",77900
"2021-04-06",76500
"2021-04-07",76900
"2021-04-08",74300
"2021-04-09",73000
"2021-04-12",72900
"2021-04-13",72000
"2021-04-14",71700
"2021-04-15",72000
"2021-04-16",75500
"2021-04-19",74400
"2021-04-20",73700
"2021-04-21",72500
"2021-04-22",72000
"2021-04-23",71400
"2021-04-26",67500
"2021-04-27",67400
"2021-04-28",63100
"2021-04-29",62300
"2021-04-30",63100
"2021-05-03",59600
"2021-05-04",60700
"2021-05-06",58500
"2021-05-07",61400
"2021-05-10",62900
"2021-05-11",59900
"2021-05-12",58100
"2021-05-13",56900
"2021-05-14",60900
"2021-05-17",59300
"2021-05-18",59800
"2021-05-20",60000
"2021-05-21",59700
"2021-05-24",59700
"2021-05-25",61800
"2021-05-26",60500
"2021-05-27",60800
"2021-05-28",60700
"2021-05-31",60400
"2021-06-01",60100
"2021-06-02",60000
"2021-06-03",62000
"2021-06-04",60100
"2021-06-07",60600
"2021-06-08",60600
"2021-06-09",60500
"2021-06-10",61600
"2021-06-11",65000
"2021-06-14",67900
"2021-06-15",69200
"2021-06-16",68700
"2021-06-17",68800
"2021-06-18",68100
"2021-06-21",65400
"2021-06-22",64300
"2021-06-23",64100
"2021-06-24",66300
"2021-06-25",66500
"2021-06-28",65700
"2021-06-29",66600
"2021-06-30",67400
"2021-07-01",66500
"2021-07-02",64500
"2021-07-05",64200
"2021-07-06",64200
"2021-07-07",63100
"2021-07-08",60900
"2021-07-09",61100
"2021-07-12",60700
"2021-07-13",60800
"2021-07-14",60100
"2021-07-15",61900
"2021-07-16",61200
"2021-07-19",60200
"2021-07-20",60500
"2021-07-21",60400
"2021-07-22",61900
"2021-07-23",61400
"2021-07-26",60600
"2021-07-27",61100
"2021-07-28",60600
"2021-07-29",60400
"2021-07-30",59900
"2021-08-02",59900
"2021-08-03",60100
"2021-08-04",60200
"2021-08-05",61000
"2021-08-06",60600
"2021-08-09",60200
"2021-08-10",59800
"2021-08-11",58300
"2021-08-12",57600
"2021-08-13",54700
"2021-08-17",51500
"2021-08-18",53100
"2021-08-19",51400
"2021-08-20",49400
"2021-08-23",51100
"2021-08-24",54000
"2021-08-25",56400
"2021-08-26",53900
"2021-08-27",53000
"2021-08-30",52600
"2021-08-31",53600
"2021-09-01",54500
"2021-09-02",56800
"2021-09-03",58100
"2021-09-06",59100
"2021-09-07",59800
"2021-09-08",59100
"2021-09-09",61100
"2021-09-10",60800
"2021-09-13",59700
"2021-09-14",60400
"2021-09-15",59600
"2021-09-16",58400
"2021-09-17",59500
"2021-09-23",56800
"2021-09-24",56900
"2021-09-27",56100
"2021-09-28",53400
"2021-09-29",55000
"2021-09-30",54000
"2021-10-01",52800
"2021-10-05",51900
"2021-10-06",50000
"2021-10-07",50700
"2021-10-08",49700
"2021-10-12",48900
"2021-10-13",49500
"2021-10-14",51800
"2021-10-15",52000
"2021-10-18",52100
"2021-10-19",52100
"2021-10-20",51400
"2021-10-21",50500
"2021-10-22",51000
"2021-10-25",51000
"2021-10-26",52500
"2021-10-27",53700
"2021-10-28",54800
"2021-10-29",53100
"2021-11-01",52000
"2021-11-02",52900
"2021-11-03",51200
"2021-11-04",50600
"2021-11-05",50500
