"","Price"
"2019-12-26",9630
"2019-12-27",9600
"2019-12-30",9710
"2020-01-02",12600
"2020-01-03",13250
"2020-01-06",13400
"2020-01-07",11750
"2020-01-08",10850
"2020-01-09",11700
"2020-01-10",11800
"2020-01-13",12200
"2020-01-14",12250
"2020-01-15",12450
"2020-01-16",12150
"2020-01-17",11800
"2020-01-20",11450
"2020-01-21",11650
"2020-01-22",11600
"2020-01-23",11300
"2020-01-28",10450
"2020-01-29",10550
"2020-01-30",9850
"2020-01-31",9610
"2020-02-03",9660
"2020-02-04",9860
"2020-02-05",9860
"2020-02-06",9910
"2020-02-07",9740
"2020-02-10",9430
"2020-02-11",10450
"2020-02-12",11300
"2020-02-13",10900
"2020-02-14",10750
"2020-02-17",10950
"2020-02-18",10600
"2020-02-19",10200
"2020-02-20",9860
"2020-02-21",9730
"2020-02-24",8750
"2020-02-25",9030
"2020-02-26",8750
"2020-02-27",8490
"2020-02-28",7600
"2020-03-02",7760
"2020-03-03",7660
"2020-03-04",7880
"2020-03-05",8190
"2020-03-06",8500
"2020-03-09",7750
"2020-03-10",8010
"2020-03-11",7420
"2020-03-12",6730
"2020-03-13",5920
"2020-03-16",5440
"2020-03-17",5340
"2020-03-18",4940
"2020-03-19",3820
"2020-03-20",4180
"2020-03-23",3800
"2020-03-24",4280
"2020-03-25",4830
"2020-03-26",5210
"2020-03-27",5250
"2020-03-30",5650
"2020-03-31",6510
"2020-04-01",6310
"2020-04-02",6710
"2020-04-03",7060
"2020-04-06",7160
"2020-04-07",7090
"2020-04-08",7270
"2020-04-09",7550
"2020-04-10",7590
"2020-04-13",6960
"2020-04-14",7270
"2020-04-16",8450
"2020-04-17",8650
"2020-04-20",9400
"2020-04-21",9300
"2020-04-22",9510
"2020-04-23",9520
"2020-04-24",9090
"2020-04-27",9070
"2020-04-28",9000
"2020-04-29",8890
"2020-05-04",8880
"2020-05-06",9190
"2020-05-07",9080
"2020-05-08",9100
"2020-05-11",9070
"2020-05-12",8890
"2020-05-13",8880
"2020-05-14",8550
"2020-05-15",8670
"2020-05-18",8190
"2020-05-19",8240
"2020-05-20",8270
"2020-05-21",9070
"2020-05-22",9390
"2020-05-25",9550
"2020-05-26",9510
"2020-05-27",9940
"2020-05-28",9650
"2020-05-29",9490
"2020-06-01",9660
"2020-06-02",10000
"2020-06-03",9750
"2020-06-04",10400
"2020-06-05",10500
"2020-06-08",10900
"2020-06-09",10650
"2020-06-10",10350
"2020-06-11",10600
"2020-06-12",10300
"2020-06-15",9410
"2020-06-16",9680
"2020-06-17",9790
"2020-06-18",10500
"2020-06-19",10700
"2020-06-22",10500
"2020-06-23",10700
"2020-06-24",11800
"2020-06-25",11200
"2020-06-26",11000
"2020-06-29",10500
"2020-06-30",10150
"2020-07-01",9940
"2020-07-02",10150
"2020-07-03",10100
"2020-07-06",10350
"2020-07-07",10250
"2020-07-08",10100
"2020-07-09",10100
"2020-07-10",9880
"2020-07-13",9890
"2020-07-14",10050
"2020-07-15",10700
"2020-07-16",10300
"2020-07-17",10250
"2020-07-20",10100
"2020-07-21",10150
"2020-07-22",10050
"2020-07-23",9960
"2020-07-24",9540
"2020-07-27",9360
"2020-07-28",9140
"2020-07-29",9350
"2020-07-30",9160
"2020-07-31",9010
"2020-08-03",8900
"2020-08-04",9210
"2020-08-05",9290
"2020-08-06",9350
"2020-08-07",9620
"2020-08-10",9380
"2020-08-11",9270
"2020-08-12",9500
"2020-08-13",9490
"2020-08-14",9250
"2020-08-18",8410
"2020-08-19",8400
"2020-08-20",7970
"2020-08-21",7920
"2020-08-24",8040
"2020-08-25",8280
"2020-08-26",8340
"2020-08-27",8070
"2020-08-28",8170
"2020-08-31",8170
"2020-09-01",8160
"2020-09-02",8640
"2020-09-03",8400
"2020-09-04",8230
"2020-09-07",8670
"2020-09-08",8890
"2020-09-09",8970
"2020-09-10",9030
"2020-09-11",9100
"2020-09-14",9130
"2020-09-15",9090
"2020-09-16",8890
"2020-09-17",8650
"2020-09-18",8300
"2020-09-21",8020
"2020-09-22",7820
"2020-09-23",7890
"2020-09-24",7340
"2020-09-25",7690
"2020-09-28",7960
"2020-09-29",8110
"2020-10-05",8120
"2020-10-06",8110
"2020-10-07",8090
"2020-10-08",8010
"2020-10-12",7990
"2020-10-13",7910
"2020-10-14",7710
"2020-10-15",7590
"2020-10-16",7430
"2020-10-19",7320
"2020-10-20",7370
"2020-10-21",7390
"2020-10-22",7110
"2020-10-23",6990
"2020-10-26",6630
"2020-10-27",6460
"2020-10-28",6570
"2020-10-29",6610
"2020-10-30",6340
"2020-11-02",6320
"2020-11-03",6710
"2020-11-04",6840
"2020-11-05",7100
"2020-11-06",6970
"2020-11-09",7070
"2020-11-10",6970
"2020-11-11",7090
"2020-11-12",7050
"2020-11-13",6920
"2020-11-16",6960
"2020-11-17",6830
"2020-11-18",6900
"2020-11-19",7020
"2020-11-20",7130
"2020-11-23",7050
"2020-11-24",7140
"2020-11-25",7000
"2020-11-26",7100
"2020-11-27",7100
"2020-11-30",7140
"2020-12-01",7110
"2020-12-02",7240
"2020-12-03",7150
"2020-12-04",7030
"2020-12-07",6950
"2020-12-08",6890
"2020-12-09",6850
"2020-12-10",6910
"2020-12-11",6930
"2020-12-14",6760
"2020-12-15",6710
"2020-12-16",6760
"2020-12-17",6760
"2020-12-18",6730
"2020-12-21",6650
"2020-12-22",6480
"2020-12-23",6480
"2020-12-24",6480
"2020-12-28",6370
"2020-12-29",6570
"2020-12-30",6630
"2021-01-04",6750
"2021-01-05",6790
"2021-01-06",6730
"2021-01-07",6790
"2021-01-08",6900
"2021-01-11",6640
"2021-01-12",6510
"2021-01-13",6620
"2021-01-14",6940
"2021-01-15",6800
"2021-01-18",6600
"2021-01-19",6730
"2021-01-20",6770
"2021-01-21",7250
"2021-01-22",7250
"2021-01-25",7270
"2021-01-26",7420
"2021-01-27",7180
"2021-01-28",7200
"2021-01-29",6870
"2021-02-01",6830
"2021-02-02",6770
"2021-02-03",6770
"2021-02-04",6610
"2021-02-05",6490
"2021-02-08",6400
"2021-02-09",6390
"2021-02-10",6300
"2021-02-15",6310
"2021-02-16",6440
"2021-02-17",6390
"2021-02-18",6380
"2021-02-19",6350
"2021-02-22",6270
"2021-02-23",6110
"2021-02-24",5820
"2021-02-25",5940
"2021-02-26",5720
"2021-03-02",5580
"2021-03-03",5580
"2021-03-04",5480
"2021-03-05",5510
"2021-03-08",5300
"2021-03-09",5100
"2021-03-10",5070
"2021-03-11",5160
"2021-03-12",5300
"2021-03-15",5350
"2021-03-16",5470
"2021-03-17",5420
"2021-03-18",5560
"2021-03-19",5730
"2021-03-22",5770
"2021-03-23",5740
"2021-03-24",5860
"2021-03-25",5900
"2021-03-26",5910
"2021-03-29",5830
"2021-03-30",5700
"2021-03-31",5600
"2021-04-01",5620
"2021-04-02",5600
"2021-04-05",5670
"2021-04-06",5480
"2021-04-07",5360
"2021-04-08",5380
"2021-04-09",5440
"2021-04-12",5440
"2021-04-13",5590
"2021-04-14",5670
"2021-04-15",5690
"2021-04-16",5660
"2021-04-19",5630
"2021-04-20",5550
"2021-04-21",5520
"2021-04-22",5500
"2021-04-23",5400
"2021-04-26",5430
"2021-04-27",5350
"2021-04-28",5210
"2021-04-29",5140
"2021-04-30",5140
"2021-05-03",5110
"2021-05-04",5090
"2021-05-06",5140
"2021-05-07",5160
"2021-05-10",5210
"2021-05-11",5870
"2021-05-12",6100
"2021-05-13",5790
"2021-05-14",5970
