"","Price"
"2020-03-16",3775
"2020-03-17",3710
"2020-03-18",3220
"2020-03-19",2450
"2020-03-20",2710
"2020-03-23",3205
"2020-03-24",3250
"2020-03-25",3240
"2020-03-26",3250
"2020-03-27",3115
"2020-03-30",3290
"2020-03-31",3285
"2020-04-01",3265
"2020-04-02",3650
"2020-04-03",3875
"2020-04-06",4090
"2020-04-07",4300
"2020-04-08",4450
"2020-04-09",4460
"2020-04-10",4180
"2020-04-13",4220
"2020-04-14",4355
"2020-04-16",4495
"2020-04-17",5040
"2020-04-20",4860
"2020-04-21",4630
"2020-04-22",4670
"2020-04-23",4685
"2020-04-24",4475
"2020-04-27",4520
"2020-04-28",4695
"2020-04-29",4690
"2020-05-04",4540
"2020-05-06",4760
"2020-05-07",4800
"2020-05-08",4840
"2020-05-11",4840
"2020-05-12",5140
"2020-05-13",5250
"2020-05-14",5180
"2020-05-15",5190
"2020-05-18",4915
"2020-05-19",4850
"2020-05-20",5050
"2020-05-21",5770
"2020-05-22",6080
"2020-05-25",6080
"2020-05-26",6190
"2020-05-27",5890
"2020-05-28",5750
"2020-05-29",5840
"2020-06-01",5900
"2020-06-02",5870
"2020-06-03",5660
"2020-06-04",5780
"2020-06-05",5790
"2020-06-08",5800
"2020-06-09",5760
"2020-06-10",5730
"2020-06-11",5440
"2020-06-12",5360
"2020-06-15",4775
"2020-06-16",4950
"2020-06-17",4970
"2020-06-18",5000
"2020-06-19",5000
"2020-06-22",5010
"2020-06-23",4910
"2020-06-24",4935
"2020-06-25",4825
"2020-06-26",4720
"2020-06-29",4520
"2020-06-30",4640
"2020-07-01",4545
"2020-07-02",4550
"2020-07-03",4590
"2020-07-06",4680
"2020-07-07",4760
"2020-07-08",4730
"2020-07-09",4775
"2020-07-10",4720
"2020-07-13",4690
"2020-07-14",4600
"2020-07-15",4610
"2020-07-16",4665
"2020-07-17",4735
"2020-07-20",4595
"2020-07-21",4555
"2020-07-22",4580
"2020-07-23",4550
"2020-07-24",4400
"2020-07-27",4385
"2020-07-28",4415
"2020-07-29",4380
"2020-07-30",4370
"2020-07-31",4375
"2020-08-03",4260
"2020-08-04",4345
"2020-08-05",4425
"2020-08-06",4365
"2020-08-07",4260
"2020-08-10",4140
"2020-08-11",4270
"2020-08-12",4195
"2020-08-13",4335
"2020-08-14",4380
"2020-08-18",4125
"2020-08-19",4125
"2020-08-20",3860
"2020-08-21",3785
"2020-08-24",3850
"2020-08-25",4025
"2020-08-26",3980
"2020-08-27",3875
"2020-08-28",3965
"2020-08-31",3950
"2020-09-01",3945
"2020-09-02",4075
"2020-09-03",4075
"2020-09-04",3955
"2020-09-07",3990
"2020-09-08",4125
"2020-09-09",4325
"2020-09-10",4370
"2020-09-11",4335
"2020-09-14",4365
"2020-09-15",4330
"2020-09-16",4335
"2020-09-17",4250
"2020-09-18",4200
"2020-09-21",4130
"2020-09-22",3940
"2020-09-23",3995
"2020-09-24",3785
"2020-09-25",3760
"2020-09-28",3820
"2020-09-29",3955
"2020-10-05",4035
"2020-10-06",4025
"2020-10-07",4020
"2020-10-08",4045
"2020-10-12",4025
"2020-10-13",3995
"2020-10-14",3930
"2020-10-15",3865
"2020-10-16",3810
"2020-10-19",3790
"2020-10-20",3800
"2020-10-21",3865
"2020-10-22",3825
"2020-10-23",3805
"2020-10-26",3675
"2020-10-27",3670
"2020-10-28",3715
"2020-10-29",3695
"2020-10-30",3630
"2020-11-02",3620
"2020-11-03",3670
"2020-11-04",3745
"2020-11-05",4025
"2020-11-06",3990
"2020-11-09",3960
"2020-11-10",4025
"2020-11-11",3990
"2020-11-12",3985
"2020-11-13",3990
"2020-11-16",4005
"2020-11-17",3985
"2020-11-18",3985
"2020-11-19",3920
"2020-11-20",3935
"2020-11-23",3935
"2020-11-24",4005
"2020-11-25",3980
"2020-11-26",4070
"2020-11-27",4160
"2020-11-30",4130
"2020-12-01",4050
"2020-12-02",4140
"2020-12-03",4250
"2020-12-04",4285
"2020-12-07",4200
"2020-12-08",4200
"2020-12-09",4190
"2020-12-10",4155
"2020-12-11",4160
"2020-12-14",4090
"2020-12-15",4075
"2020-12-16",4150
"2020-12-17",4250
"2020-12-18",4405
"2020-12-21",4340
"2020-12-22",4130
"2020-12-23",4030
"2020-12-24",4075
"2020-12-28",4000
"2020-12-29",4220
"2020-12-30",4330
"2021-01-04",4300
"2021-01-05",4380
"2021-01-06",4310
"2021-01-07",4465
"2021-01-08",4405
"2021-01-11",4435
"2021-01-12",4345
"2021-01-13",4330
"2021-01-14",4340
"2021-01-15",4450
"2021-01-18",4315
"2021-01-19",4355
"2021-01-20",4355
"2021-01-21",4455
"2021-01-22",4330
"2021-01-25",4365
"2021-01-26",4330
"2021-01-27",4305
"2021-01-28",4150
"2021-01-29",3990
"2021-02-01",4035
"2021-02-02",4100
"2021-02-03",4090
"2021-02-04",4085
"2021-02-05",4050
"2021-02-08",4085
"2021-02-09",4100
"2021-02-10",4105
"2021-02-15",4110
"2021-02-16",4415
"2021-02-17",4300
"2021-02-18",4210
"2021-02-19",4270
"2021-02-22",4200
"2021-02-23",4150
"2021-02-24",4025
"2021-02-25",4080
"2021-02-26",3860
"2021-03-02",3865
"2021-03-03",3920
"2021-03-04",3860
"2021-03-05",3840
"2021-03-08",3895
"2021-03-09",3840
"2021-03-10",3840
"2021-03-11",3860
"2021-03-12",3940
"2021-03-15",3960
"2021-03-16",3970
"2021-03-17",4045
"2021-03-18",4020
"2021-03-19",4010
"2021-03-22",4015
"2021-03-23",3910
"2021-03-24",3875
"2021-03-25",3910
"2021-03-26",3895
"2021-03-29",3910
"2021-03-30",3925
"2021-03-31",3890
"2021-04-01",3905
"2021-04-02",3900
"2021-04-05",3915
"2021-04-06",3900
"2021-04-07",3900
"2021-04-08",4000
"2021-04-09",3900
"2021-04-12",3970
"2021-04-13",3970
"2021-04-14",4045
"2021-04-15",4050
"2021-04-16",4150
"2021-04-19",4150
"2021-04-20",4155
"2021-04-21",4055
"2021-04-22",4065
"2021-04-23",4100
"2021-04-26",4130
"2021-04-27",4135
"2021-04-28",4065
"2021-04-29",4045
"2021-04-30",4100
"2021-05-03",4080
"2021-05-04",4130
"2021-05-06",4140
"2021-05-07",4235
"2021-05-10",4225
"2021-05-11",4185
"2021-05-12",4185
"2021-05-13",4140
"2021-05-14",4230
"2021-05-17",4140
"2021-05-18",4095
"2021-05-20",4100
"2021-05-21",4085
"2021-05-24",4000
"2021-05-25",4040
"2021-05-26",4045
"2021-05-27",4055
"2021-05-28",4060
"2021-05-31",4045
"2021-06-01",4045
"2021-06-02",4035
"2021-06-03",4080
"2021-06-04",4095
"2021-06-07",4125
"2021-06-08",4085
"2021-06-09",4070
"2021-06-10",4095
"2021-06-11",4100
"2021-06-14",4190
"2021-06-15",4200
"2021-06-16",4220
"2021-06-17",4240
"2021-06-18",4225
"2021-06-21",4220
"2021-06-22",4210
"2021-06-23",4230
"2021-06-24",4155
"2021-06-25",4140
"2021-06-28",4155
"2021-06-29",4240
"2021-06-30",4290
"2021-07-01",4430
"2021-07-02",4405
"2021-07-05",4470
"2021-07-06",4420
"2021-07-07",4440
"2021-07-08",4435
"2021-07-09",4340
"2021-07-12",4425
"2021-07-13",4470
"2021-07-14",4580
"2021-07-15",4640
"2021-07-16",4560
"2021-07-19",4495
"2021-07-20",4455
"2021-07-21",4485
"2021-07-22",4485
"2021-07-23",4490
"2021-07-26",4515
"2021-07-27",4550
"2021-07-28",4410
"2021-07-29",4415
"2021-07-30",4345
"2021-08-02",4320
"2021-08-03",4250
"2021-08-04",4290
"2021-08-05",4320
"2021-08-06",4335
"2021-08-09",4390
"2021-08-10",4345
"2021-08-11",4230
"2021-08-12",4125
"2021-08-13",4150
"2021-08-17",4030
"2021-08-18",4090
"2021-08-19",3940
"2021-08-20",3845
"2021-08-23",3850
"2021-08-24",3980
"2021-08-25",4035
"2021-08-26",4035
"2021-08-27",4060
"2021-08-30",4050
"2021-08-31",4150
"2021-09-01",4145
"2021-09-02",4160
"2021-09-03",4145
"2021-09-06",4120
"2021-09-07",4100
"2021-09-08",4000
"2021-09-09",3935
"2021-09-10",3945
"2021-09-13",3890
"2021-09-14",3950
"2021-09-15",3935
"2021-09-16",3900
"2021-09-17",3905
"2021-09-23",3865
"2021-09-24",3900
"2021-09-27",3905
"2021-09-28",3865
"2021-09-29",3765
"2021-09-30",3810
"2021-10-01",3650
"2021-10-05",3355
"2021-10-06",3295
"2021-10-07",3460
"2021-10-08",3550
"2021-10-12",3525
"2021-10-13",3570
"2021-10-14",3605
"2021-10-15",3660
"2021-10-18",3620
"2021-10-19",3605
"2021-10-20",3605
"2021-10-21",3500
"2021-10-22",3530
"2021-10-25",3470
"2021-10-26",3500
"2021-10-27",3535
"2021-10-28",4205
"2021-10-29",4090
"2021-11-01",3840
"2021-11-02",3820
"2021-11-03",3690
"2021-11-04",3650
"2021-11-05",3645
