"","Price"
"2019-07-19",5973
"2019-07-22",5956
"2019-07-23",5838
"2019-07-24",5855
"2019-07-25",5855
"2019-07-26",5838
"2019-07-29",5804
"2019-07-30",5635
"2019-07-31",5635
"2019-08-01",5516
"2019-08-02",5482
"2019-08-05",4569
"2019-08-06",4061
"2019-08-07",4146
"2019-08-08",4332
"2019-08-09",4366
"2019-08-12",4552
"2019-08-13",4636
"2019-08-14",4687
"2019-08-16",4653
"2019-08-19",4704
"2019-08-20",4772
"2019-08-21",4806
"2019-08-22",4873
"2019-08-23",4806
"2019-08-26",4619
"2019-08-27",4636
"2019-08-28",4721
"2019-08-29",4721
"2019-08-30",4738
"2019-09-02",4738
"2019-09-03",4738
"2019-09-04",4806
"2019-09-05",4806
"2019-09-06",4772
"2019-09-09",4636
"2019-09-10",4636
"2019-09-11",4670
"2019-09-16",4670
"2019-09-17",4772
"2019-09-18",4755
"2019-09-19",4738
"2019-09-20",4738
"2019-09-23",4738
"2019-09-24",4738
"2019-09-25",4822
"2019-09-26",4907
"2019-09-27",5009
"2019-09-30",4873
"2019-10-01",5076
"2019-10-02",4924
"2019-10-04",4839
"2019-10-07",5026
"2019-10-08",5110
"2019-10-10",5330
"2019-10-11",5550
"2019-10-14",5736
"2019-10-15",5584
"2019-10-16",5753
"2019-10-17",5719
"2019-10-18",5584
"2019-10-21",5584
"2019-10-22",5567
"2019-10-23",5719
"2019-10-24",5584
"2019-10-25",5364
"2019-10-28",5398
"2019-10-29",5432
"2019-10-30",5482
"2019-10-31",5652
"2019-11-01",5719
"2019-11-04",5635
"2019-11-05",5736
"2019-11-06",5753
"2019-11-07",5770
"2019-11-08",5601
"2019-11-11",5482
"2019-11-12",5449
"2019-11-13",5313
"2019-11-14",5482
"2019-11-15",5482
"2019-11-18",5415
"2019-11-19",5279
"2019-11-20",5161
"2019-11-21",5026
"2019-11-22",5009
"2019-11-25",5110
"2019-11-26",5059
"2019-11-27",5009
"2019-11-28",5009
"2019-11-29",4992
"2019-12-02",4992
"2019-12-03",4907
"2019-12-04",4890
"2019-12-05",4856
"2019-12-06",4873
"2019-12-09",4975
"2019-12-10",5093
"2019-12-11",5076
"2019-12-12",5093
"2019-12-13",5161
"2019-12-16",5262
"2019-12-17",5195
"2019-12-18",5195
"2019-12-19",5178
"2019-12-20",5161
"2019-12-23",5110
"2019-12-24",5550
"2019-12-26",5787
"2019-12-27",5685
"2019-12-30",5685
"2020-01-02",5719
"2020-01-03",5736
"2020-01-06",5618
"2020-01-07",5584
"2020-01-08",5178
"2020-01-09",5398
"2020-01-10",5449
"2020-01-13",5618
"2020-01-14",5618
"2020-01-15",5550
"2020-01-16",5567
"2020-01-17",5584
"2020-01-20",5499
"2020-01-21",5635
"2020-01-22",5838
"2020-01-23",5821
"2020-01-28",5905
"2020-01-29",6768
"2020-01-30",6802
"2020-01-31",5922
"2020-02-03",5533
"2020-02-04",5702
"2020-02-05",6024
"2020-02-06",6075
"2020-02-07",5905
"2020-02-10",5770
"2020-02-11",5685
"2020-02-12",5685
"2020-02-13",5584
"2020-02-14",5719
"2020-02-17",5753
"2020-02-18",5838
"2020-02-19",6024
"2020-02-20",5855
"2020-02-21",5922
"2020-02-24",5669
"2020-02-25",5618
"2020-02-26",5584
"2020-02-27",5432
"2020-02-28",5127
"2020-03-02",5279
"2020-03-03",5499
"2020-03-04",5550
"2020-03-05",5719
"2020-03-06",5685
"2020-03-09",5872
"2020-03-10",5719
"2020-03-11",5567
"2020-03-12",5195
"2020-03-13",4569
"2020-03-16",4332
"2020-03-17",4366
"2020-03-18",4264
"2020-03-19",3706
"2020-03-20",3892
"2020-03-23",4061
"2020-03-24",4332
"2020-03-25",4552
"2020-03-26",4619
"2020-03-27",5009
"2020-03-30",5279
"2020-03-31",5262
"2020-04-01",5161
"2020-04-02",5161
"2020-04-03",5296
"2020-04-06",5939
"2020-04-07",5990
"2020-04-08",5888
"2020-04-09",6125
"2020-04-10",5872
"2020-04-13",5635
"2020-04-14",5804
"2020-04-16",5939
"2020-04-17",5956
"2020-04-20",6007
"2020-04-21",5888
"2020-04-22",5990
"2020-04-23",6295
"2020-04-24",5973
"2020-04-27",6092
"2020-04-28",5939
"2020-04-29",5956
"2020-05-04",5804
"2020-05-06",5990
"2020-05-07",6007
"2020-05-08",6210
"2020-05-11",6227
"2020-05-12",6430
"2020-05-13",6531
"2020-05-14",6498
"2020-05-15",6582
"2020-05-18",6633
"2020-05-19",6565
"2020-05-20",6565
"2020-05-21",6616
"2020-05-22",6430
"2020-05-25",6464
"2020-05-26",6362
"2020-05-27",6159
"2020-05-28",6058
"2020-05-29",6227
"2020-06-01",6261
"2020-06-02",7276
"2020-06-03",7310
"2020-06-04",7361
"2020-06-05",7479
"2020-06-08",7665
"2020-06-09",7936
"2020-06-10",7784
"2020-06-11",7750
"2020-06-12",7919
"2020-06-15",7208
"2020-06-16",7953
"2020-06-17",7801
"2020-06-18",8139
"2020-06-19",7919
"2020-06-22",7801
"2020-06-23",7564
"2020-06-24",8004
"2020-06-25",7834
"2020-06-26",7716
"2020-06-29",7513
"2020-06-30",7496
"2020-07-01",7394
"2020-07-02",7394
"2020-07-03",7411
"2020-07-06",7411
"2020-07-07",7716
"2020-07-08",7699
"2020-07-09",7614
"2020-07-10",7530
"2020-07-13",7598
"2020-07-14",7868
"2020-07-15",7801
"2020-07-16",8173
"2020-07-17",8190
"2020-07-20",8460
"2020-07-21",8494
"2020-07-22",8833
"2020-07-23",9476
"2020-07-24",8799
"2020-07-27",9188
"2020-07-28",8833
"2020-07-29",8833
"2020-07-30",8782
"2020-07-31",8596
"2020-08-03",8680
"2020-08-04",9137
"2020-08-05",9036
"2020-08-06",8934
"2020-08-07",8714
"2020-08-10",9273
"2020-08-11",9070
"2020-08-12",8460
"2020-08-13",8444
"2020-08-14",8224
"2020-08-18",7834
"2020-08-19",7970
"2020-08-20",7716
"2020-08-21",7784
"2020-08-24",7953
"2020-08-25",8240
"2020-08-26",8325
"2020-08-27",8240
"2020-08-28",8257
"2020-08-31",8325
"2020-09-01",8325
"2020-09-02",8647
"2020-09-03",8731
"2020-09-04",8833
"2020-09-07",8850
"2020-09-08",9120
"2020-09-09",8968
"2020-09-10",8816
"2020-09-11",8900
"2020-09-14",8850
"2020-09-15",8968
"2020-09-16",8968
"2020-09-17",8731
"2020-09-18",8850
"2020-09-21",8511
"2020-09-22",8088
"2020-09-23",8004
"2020-09-24",7970
"2020-09-25",7987
"2020-09-28",8088
"2020-09-29",8122
"2020-10-05",8342
"2020-10-06",8579
"2020-10-07",8816
"2020-10-08",8731
"2020-10-12",8833
"2020-10-13",8596
"2020-10-14",8342
"2020-10-15",8190
"2020-10-16",8156
"2020-10-19",8054
"2020-10-20",7953
"2020-10-21",7987
"2020-10-22",7767
"2020-10-23",7682
"2020-10-26",7411
"2020-10-27",7310
"2020-10-28",7479
"2020-10-29",7310
"2020-10-30",7225
"2020-11-02",7276
"2020-11-03",7445
"2020-11-04",7513
"2020-11-05",7665
"2020-11-06",7513
"2020-11-09",7750
"2020-11-10",7648
"2020-11-11",7496
"2020-11-12",7564
"2020-11-13",7598
"2020-11-16",7665
"2020-11-17",7513
"2020-11-18",7631
"2020-11-19",7716
"2020-11-20",7868
"2020-11-23",7699
"2020-11-24",7699
"2020-11-25",7834
"2020-11-26",7851
"2020-11-27",7902
"2020-11-30",8257
"2020-12-01",8190
"2020-12-02",8257
"2020-12-03",8240
"2020-12-04",8190
"2020-12-07",8274
"2020-12-08",8257
"2020-12-09",8274
"2020-12-10",8274
"2020-12-11",8460
"2020-12-14",8427
"2020-12-15",8376
"2020-12-16",8410
"2020-12-17",8376
"2020-12-18",8376
"2020-12-21",8833
"2020-12-22",9239
"2020-12-23",8562
"2020-12-24",8376
"2020-12-28",8240
"2020-12-29",8410
"2020-12-30",8477
"2021-01-04",8427
"2021-01-05",8562
"2021-01-06",8934
"2021-01-07",8917
"2021-01-08",8765
"2021-01-11",8444
"2021-01-12",8444
"2021-01-13",8427
"2021-01-14",8393
"2021-01-15",8291
"2021-01-18",8122
"2021-01-19",8105
"2021-01-20",8291
"2021-01-21",8308
"2021-01-22",8207
"2021-01-25",8257
"2021-01-26",8494
"2021-01-27",8494
"2021-01-28",8376
"2021-01-29",8021
"2021-02-01",7970
"2021-02-02",7953
"2021-02-03",7919
"2021-02-04",7868
"2021-02-05",8021
"2021-02-08",8139
"2021-02-09",8410
"2021-02-10",8613
"2021-02-15",11185
"2021-02-16",12555
"2021-02-17",12809
"2021-02-18",12792
"2021-02-19",13300
"2021-02-22",13232
"2021-02-23",12928
"2021-02-24",12674
"2021-02-25",14044
"2021-02-26",12200
"2021-03-02",13150
"2021-03-03",12150
"2021-03-04",11600
"2021-03-05",11400
"2021-03-08",11150
"2021-03-09",10900
"2021-03-10",11000
"2021-03-11",10900
"2021-03-12",10900
"2021-03-15",11550
"2021-03-16",11350
"2021-03-17",11700
"2021-03-18",11450
"2021-03-19",11150
"2021-03-22",11150
"2021-03-23",11200
"2021-03-24",11200
"2021-03-25",11000
"2021-03-26",11000
"2021-03-29",10750
"2021-03-30",10700
"2021-03-31",11000
"2021-04-01",10500
"2021-04-02",10350
"2021-04-05",9430
"2021-04-06",9130
"2021-04-07",9230
"2021-04-08",9310
"2021-04-09",9770
"2021-04-12",9880
"2021-04-13",10000
"2021-04-14",10400
"2021-04-15",10200
"2021-04-16",10300
"2021-04-19",10150
"2021-04-20",10200
"2021-04-21",10000
"2021-04-22",10100
"2021-04-23",10250
"2021-04-26",10050
"2021-04-27",9880
"2021-04-28",9860
"2021-04-29",9950
"2021-04-30",9800
"2021-05-03",9310
"2021-05-04",9210
"2021-05-06",9120
"2021-05-07",9400
"2021-05-10",9480
"2021-05-11",9300
"2021-05-12",9540
"2021-05-13",9270
"2021-05-14",9280
"2021-05-17",9230
"2021-05-18",9230
"2021-05-20",9260
"2021-05-21",9500
"2021-05-24",9390
"2021-05-25",9340
"2021-05-26",9260
"2021-05-27",9200
"2021-05-28",9500
"2021-05-31",9430
"2021-06-01",9580
"2021-06-02",9440
"2021-06-03",9440
"2021-06-04",9440
"2021-06-07",9420
"2021-06-08",9390
"2021-06-09",9180
"2021-06-10",9260
"2021-06-11",9180
"2021-06-14",9200
"2021-06-15",9140
"2021-06-16",9140
"2021-06-17",9210
"2021-06-18",9200
"2021-06-21",9220
"2021-06-22",9230
"2021-06-23",9410
"2021-06-24",9340
"2021-06-25",9400
"2021-06-28",9500
"2021-06-29",9610
"2021-06-30",9580
"2021-07-01",9940
"2021-07-02",9820
"2021-07-05",10050
"2021-07-06",10250
"2021-07-07",10200
"2021-07-08",9800
"2021-07-09",9800
"2021-07-12",9990
"2021-07-13",9980
"2021-07-14",10700
"2021-07-15",10600
"2021-07-16",10050
"2021-07-19",10000
"2021-07-20",9830
"2021-07-21",9710
"2021-07-22",9640
"2021-07-23",9690
"2021-07-26",9500
"2021-07-27",9470
"2021-07-28",9330
"2021-07-29",9490
"2021-07-30",9320
"2021-08-02",9320
"2021-08-03",9370
"2021-08-04",9430
"2021-08-05",9450
"2021-08-06",9740
"2021-08-09",9700
"2021-08-10",9580
"2021-08-11",9870
"2021-08-12",9740
"2021-08-13",9710
"2021-08-17",9340
"2021-08-18",9390
"2021-08-19",9070
"2021-08-20",8580
"2021-08-23",8660
"2021-08-24",9150
"2021-08-25",9260
"2021-08-26",9010
"2021-08-27",9090
"2021-08-30",9190
"2021-08-31",9190
"2021-09-01",9340
"2021-09-02",9390
"2021-09-03",9390
"2021-09-06",9310
"2021-09-07",9190
"2021-09-08",9040
"2021-09-09",9040
"2021-09-10",9000
"2021-09-13",8930
"2021-09-14",8970
"2021-09-15",8980
"2021-09-16",8930
"2021-09-17",8940
"2021-09-23",8860
"2021-09-24",8860
"2021-09-27",8950
"2021-09-28",8950
"2021-09-29",8790
"2021-09-30",8830
"2021-10-01",8680
"2021-10-05",8260
"2021-10-06",7790
"2021-10-07",7980
"2021-10-08",7930
"2021-10-12",7820
"2021-10-13",8020
"2021-10-14",8250
"2021-10-15",8250
"2021-10-18",8200
"2021-10-19",8200
"2021-10-20",8180
"2021-10-21",8190
"2021-10-22",8200
"2021-10-25",8150
"2021-10-26",8190
"2021-10-27",8190
"2021-10-28",8220
"2021-10-29",8100
"2021-11-01",8010
"2021-11-02",8530
"2021-11-03",8470
"2021-11-04",8450
"2021-11-05",8400
