"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",4180,-20,-0.48,16,261.25,792,5.28,0,0
"2","095570","AJ네트웍스",5550,0,0,NA,NA,6089,0.91,210,3.78
"3","006840","AK홀딩스",25900,-550,-2.08,NA,NA,50471,0.51,400,1.54
"4","054620","APS홀딩스",16900,-650,-3.7,NA,NA,8135,2.08,0,0
"5","265520","AP시스템",24050,-50,-0.21,1736,13.85,9041,2.66,120,0.5
"6","211270","AP위성",12750,-450,-3.41,NA,NA,5321,2.4,70,0.55
"7","027410","BGF",5700,-60,-1.04,285,20,15781,0.36,110,1.93
"8","282330","BGF리테일",167000,2500,1.52,7103,23.51,40317,4.14,2400,1.44
"9","138930","BNK금융지주",8650,-120,-1.37,1498,5.77,26781,0.32,320,3.7
"10","001460","BYC",436000,1000,0.23,21904,19.91,538911,0.81,1100,0.25
"11","001465","BYC우",178000,500,0.28,NA,NA,NA,NA,1150,0.65
"12","013720","CBI",3515,40,1.15,NA,NA,485,7.25,0,0
"13","001040","CJ",95300,-2200,-2.26,2581,36.92,130202,0.73,2000,2.1
"14","079160","CJ CGV",31100,-1400,-4.31,NA,NA,3812,8.16,0,0
"15","035760","CJ ENM",166600,-10100,-5.72,2870,58.05,156746,1.06,1600,0.96
"16","00104K","CJ4우(전환)",81100,-1200,-1.46,NA,NA,NA,NA,2000,2.47
"17","000120","CJ대한통운",145500,-3000,-2.02,5683,25.6,146331,0.99,0,0
"18","011150","CJ씨푸드",3905,-20,-0.51,58,67.33,1823,2.14,0,0
"19","011155","CJ씨푸드1우",39850,-100,-0.25,NA,NA,NA,NA,0,0
"20","001045","CJ우",60800,-500,-0.82,NA,NA,NA,NA,2050,3.37
"21","097950","CJ제일제당",386000,-1500,-0.39,42783,9.02,321970,1.2,4000,1.04
"22","097955","CJ제일제당 우",195000,-1500,-0.76,NA,NA,NA,NA,4050,2.08
"23","051500","CJ프레시웨이",33000,-450,-1.35,NA,NA,15839,2.08,0,0
"24","058820","CMG제약",3915,-55,-1.39,2,1957.5,1304,3,0,0
"25","023460","CNH",3385,-55,-1.6,824,4.11,3446,0.98,50,1.48
"26","056730","CNT85",1550,0,0,NA,NA,319,4.86,0,0
"27","056000","COWON",2860,0,0,20,143,1435,1.99,0,0
"28","065770","CS",3790,-95,-2.45,9,421.11,1170,3.24,0,0
"29","083660","CSA 코스믹",1460,-75,-4.89,NA,NA,313,4.66,0,0
"30","000590","CS홀딩스",64900,-100,-0.15,6657,9.75,210057,0.31,500,0.77
"31","012030","DB",1050,-15,-1.41,33,31.82,1559,0.67,0,0
"32","367340","DB금융스팩8호",2115,5,0.24,NA,NA,NA,NA,0,0
"33","367360","DB금융스팩9호",2105,-5,-0.24,NA,NA,NA,NA,0,0
"34","016610","DB금융투자",7090,70,1,2327,3.05,18855,0.38,300,4.23
"35","005830","DB손해보험",58300,-2000,-3.32,9171,6.36,90596,0.64,2200,3.77
"36","000990","DB하이텍",58400,-200,-0.34,3822,15.28,17851,3.27,350,0.6
"37","000995","DB하이텍1우",100500,-2000,-1.95,NA,NA,NA,NA,400,0.4
"38","139130","DGB금융지주",10050,-400,-3.83,1908,5.27,29493,0.34,390,3.88
"39","001530","DI동일",289500,1500,0.52,10653,27.18,198359,1.46,1500,0.52
"40","000210","DL",66400,-1600,-2.35,13077,5.08,67178,0.99,1300,1.96
"41","001880","DL건설",29800,300,1.02,7953,3.75,34403,0.87,550,1.85
"42","000215","DL우",40700,-550,-1.33,NA,NA,NA,NA,1350,3.32
"43","375500","DL이앤씨",136500,-2000,-1.44,NA,NA,NA,NA,0,0
"44","37550K","DL이앤씨우",77000,-900,-1.16,NA,NA,NA,NA,0,0
"45","068790","DMS",6530,-10,-0.15,1718,3.8,9256,0.71,100,1.53
"46","004840","DRB동일",5580,-90,-1.59,121,46.12,17702,0.32,50,0.9
"47","241520","DSC인베스트먼트",5990,-110,-1.8,890,6.73,2144,2.79,0,0
"48","155660","DSR",6580,-360,-5.19,558,11.79,10087,0.65,50,0.76
"49","069730","DSR제강",6410,-240,-3.61,367,17.47,10157,0.63,40,0.62
"50","017940","E1",53100,-600,-1.12,10427,5.09,172701,0.31,2200,4.14
"51","245620","EDGC",3700,-145,-3.77,NA,NA,839,4.41,0,0
"52","037370","EG",16500,-250,-1.49,NA,NA,6155,2.68,0,0
"53","079190","EMW",1795,-25,-1.37,NA,NA,890,2.02,0,0
"54","050120","ES큐브",5140,-10,-0.19,NA,NA,5120,1,0,0
"55","383220","F&F",863000,-24000,-2.71,NA,NA,NA,NA,0,0
"56","007700","F&F홀딩스",37250,-1400,-3.62,5599,6.65,35801,1.04,1000,2.68
"57","214270","FSN",987,0,0,NA,NA,569,1.73,0,0
"58","130500","GH신소재",5220,-150,-2.79,5,1044,3780,1.38,0,0
"59","114090","GKL",15900,-350,-2.15,NA,NA,7863,2.02,0,0
"60","078930","GS",42700,-750,-1.73,NA,NA,88213,0.48,1900,4.45
"61","083450","GST",28350,-200,-0.7,1788,15.86,11872,2.39,150,0.53
"62","006360","GS건설",42450,-350,-0.82,3919,10.83,51311,0.83,1200,2.83
"63","001250","GS글로벌",2600,80,3.17,NA,NA,3465,0.75,0,0
"64","007070","GS리테일",32550,-350,-1.06,2187,14.88,29928,1.09,900,2.76
"65","078935","GS우",37050,-50,-0.13,NA,NA,NA,NA,1950,5.26
"66","045890","GV",240,0,0,NA,NA,671,0.36,0,0
"67","297890","HB솔루션",21000,-400,-1.87,NA,NA,5127,4.1,0,0
"68","078150","HB테크놀러지",2550,5,0.2,47,54.26,2086,1.22,20,0.78
"69","012630","HDC",10550,-150,-1.4,1869,5.64,37479,0.28,250,2.37
"70","039570","HDC아이콘트롤스",11700,-250,-2.09,1012,11.56,9958,1.17,400,3.42
"71","089470","HDC현대EP",5650,-90,-1.57,477,11.84,9177,0.62,140,2.48
"72","294870","HDC현대산업개발",25550,-350,-1.35,3622,7.05,41620,0.61,600,2.35
"73","195940","HK이노엔",55500,-1700,-2.97,1257,44.15,33496,1.66,0,0
"74","011200","HMM",26750,-650,-2.37,103,259.71,5164,5.18,0,0
"75","036640","HRS",8480,-150,-1.74,571,14.85,4964,1.71,150,1.77
"76","082740","HSD엔진",8840,-360,-3.91,184,48.04,5892,1.5,0,0
"77","335870","IBKS제12호스팩",2260,-20,-0.88,NA,NA,NA,NA,0,0
"78","351340","IBKS제13호스팩",2125,-15,-0.7,NA,NA,NA,NA,0,0
"79","351320","IBKS제14호스팩",5180,830,19.08,NA,NA,NA,NA,0,0
"80","373200","IBKS제15호스팩",2400,35,1.48,NA,NA,NA,NA,0,0
"81","388790","IBKS제16호스팩",2190,-15,-0.68,NA,NA,NA,NA,0,0
"82","003560","IHQ",1770,-80,-4.32,NA,NA,808,2.19,0,0
"83","095340","ISC",25400,-500,-1.93,454,55.95,12209,2.08,150,0.59
"84","099520","ITX-AI",1285,0,0,NA,NA,793,1.62,0,0
"85","175330","JB금융지주",8610,-120,-1.37,1774,4.85,19069,0.45,374,4.34
"86","234080","JW생명과학",16000,0,0,1065,15.02,8340,1.92,500,3.13
"87","067290","JW신약",3830,-50,-1.29,NA,NA,1288,2.97,0,0
"88","001060","JW중외제약",23700,-100,-0.42,NA,NA,9069,2.61,325,1.37
"89","001067","JW중외제약2우B",56500,-200,-0.35,NA,NA,NA,NA,325,0.58
"90","001065","JW중외제약우",32950,-50,-0.15,NA,NA,NA,NA,350,1.06
"91","096760","JW홀딩스",3880,-55,-1.4,157,24.71,2139,1.81,90,2.32
"92","035900","JYP Ent.",52900,-800,-1.49,892,59.3,5146,10.28,154,0.29
"93","024840","KBI메탈",2010,-35,-1.71,56,35.89,2806,0.72,0,0
"94","105560","KB금융",55400,-1600,-2.81,8809,6.29,102219,0.54,1770,3.19
"95","024120","KB오토시스",6700,-130,-1.9,289,23.18,8921,0.75,170,2.54
"96","002380","KCC",320500,-7500,-2.29,72945,4.39,548119,0.58,5700,1.78
"97","021320","KCC건설",9950,-150,-1.49,1806,5.51,18717,0.53,180,1.81
"98","344820","KCC글라스",60100,-400,-0.66,14761,4.07,82644,0.73,2100,3.49
"99","036670","KCI",8730,-40,-0.46,987,8.84,6617,1.32,200,2.29
"100","009070","KCTC",6640,70,1.07,433,15.33,6783,0.98,50,0.75
"101","009440","KC그린홀딩스",5230,40,0.77,NA,NA,6349,0.82,40,0.76
"102","119650","KC코트렐",7010,-70,-0.99,NA,NA,813,8.62,0,0
"103","044180","KD",1540,-35,-2.22,NA,NA,1602,0.96,0,0
"104","092220","KEC",3380,-315,-8.53,NA,NA,1394,2.42,0,0
"105","151860","KG ETS",14400,100,0.7,768,18.75,7448,1.93,110,0.76
"106","016380","KG동부제철",11400,-200,-1.72,668,17.07,9715,1.17,100,0.88
"107","016385","KG동부제철우",96500,-3200,-3.21,NA,NA,NA,NA,150,0.16
"108","046440","KG모빌리언스",9540,-20,-0.21,628,15.19,6842,1.39,220,2.31
"109","035600","KG이니시스",18600,50,0.27,1594,11.67,11032,1.69,350,1.88
"110","001390","KG케미칼",42700,1700,4.15,3358,12.72,29370,1.45,400,0.94
"111","226360","KH E&T",1490,-110,-6.88,NA,NA,1402,1.06,0,0
"112","111870","KH 일렉트론",805,1,0.12,NA,NA,1144,0.7,0,0
"113","033180","KH 필룩스",3155,-40,-1.25,NA,NA,2768,1.14,0,0
"114","060720","KH바텍",23100,-400,-1.7,NA,NA,7447,3.1,0,0
"115","001940","KISCO홀딩스",18100,-250,-1.36,2260,8.01,45645,0.4,300,1.66
"116","122450","KMH",8640,-200,-2.26,718,12.03,5865,1.47,0,0
"117","052900","KMH하이텍",1625,-25,-1.52,34,47.79,1628,1,0,0
"118","058400","KNN",1525,-45,-2.87,46,33.15,1506,1.01,15,0.98
"119","114450","KPX생명과학",7470,-50,-0.66,NA,NA,3958,1.89,0,0
"120","025000","KPX케미칼",58700,0,0,13307,4.41,108169,0.54,2750,4.68
"121","092230","KPX홀딩스",66200,0,0,34397,1.92,183257,0.36,3100,4.68
"122","000040","KR모터스",998,-12,-1.19,NA,NA,396,2.52,0,0
"123","044450","KSS해운",11950,-500,-4.02,584,20.46,11592,1.03,300,2.51
"124","030200","KT",30500,-650,-2.09,2684,11.36,53661,0.57,1350,4.43
"125","033780","KT&G",83600,-300,-0.36,9320,8.97,65822,1.27,4800,5.74
"126","030210","KTB투자증권",6350,-90,-1.4,1162,5.46,8631,0.74,150,2.36
"127","058850","KTcs",2680,-40,-1.47,257,10.43,3831,0.7,80,2.99
"128","058860","KTis",2520,-40,-1.56,223,11.3,4810,0.52,80,3.17
"129","060370","KT서브마린",5940,0,0,58,102.41,4693,1.27,30,0.51
"130","093050","LF",18900,-50,-0.26,605,31.24,42186,0.45,500,2.65
"131","003550","LG",92400,-700,-0.75,8338,11.08,115188,0.8,2500,2.71
"132","034220","LG디스플레이",20050,400,2.04,NA,NA,31863,0.63,0,0
"133","051900","LG생활건강",1231000,14000,1.15,47596,25.86,268428,4.59,11000,0.89
"134","051905","LG생활건강우",628000,4000,0.64,NA,NA,NA,NA,11050,1.76
"135","003555","LG우",67000,-400,-0.59,NA,NA,NA,NA,2550,3.81
"136","032640","LG유플러스",14250,-200,-1.38,1095,13.01,16891,0.84,450,3.16
"137","011070","LG이노텍",211500,-3500,-1.63,9978,21.2,102576,2.06,700,0.33
"138","066570","LG전자",122000,-1000,-0.81,10926,11.17,85368,1.43,1200,0.98
"139","066575","LG전자우",63800,-400,-0.62,NA,NA,NA,NA,1250,1.96
"140","037560","LG헬로비전",7010,-140,-1.96,NA,NA,8149,0.86,75,1.07
"141","051910","LG화학",784000,-47000,-5.66,6666,117.61,230440,3.4,10000,1.28
"142","051915","LG화학우",359500,-18000,-4.77,NA,NA,NA,NA,10050,2.8
"143","079550","LIG넥스원",46900,300,0.64,2664,17.61,30569,1.53,900,1.92
"144","006260","LS",62400,-400,-0.64,4568,13.66,101468,0.61,1450,2.32
"145","010120","LS ELECTRIC",59300,-700,-1.17,2905,20.41,47050,1.26,1100,1.85
"146","000680","LS네트웍스",3370,-190,-5.34,NA,NA,6258,0.54,0,0
"147","229640","LS전선아시아",8380,70,0.84,240,34.92,4352,1.93,200,2.39
"148","108320","LX세미콘",112900,2100,1.9,4459,25.32,32727,3.45,1350,1.2
"149","001120","LX인터내셔널",26750,-150,-0.56,7932,3.37,34525,0.77,400,1.5
"150","108670","LX하우시스",69700,-400,-0.57,NA,NA,83775,0.83,300,0.43
"151","108675","LX하우시스우",33100,-350,-1.05,NA,NA,NA,NA,350,1.06
"152","383800","LX홀딩스",8940,-60,-0.67,NA,NA,NA,NA,0,0
"153","38380K","LX홀딩스1우",13850,50,0.36,NA,NA,NA,NA,0,0
"154","023150","MH에탄올",11450,-450,-3.78,1049,10.92,8318,1.38,350,3.06
"155","035420","NAVER",402500,-7500,-1.83,6877,58.53,44850,8.97,402,0.1
"156","160550","NEW",15350,-1000,-6.12,NA,NA,3774,4.07,0,0
"157","053290","NE능률",18450,-350,-1.86,68,271.32,3826,4.82,40,0.22
"158","181710","NHN",80800,-1700,-2.06,1148,70.38,81621,0.99,0,0
"159","104200","NHN벅스",10350,360,3.6,NA,NA,4101,2.52,0,0
"160","060250","NHN한국사이버결제",58500,-100,-0.17,1291,45.31,6289,9.3,0,0
"161","005940","NH투자증권",12900,-150,-1.15,1923,6.71,19308,0.67,700,5.43
"162","005945","NH투자증권우",12500,-50,-0.4,NA,NA,NA,NA,750,6
"163","034310","NICE",16700,-300,-1.76,447,37.36,18634,0.9,270,1.62
"164","030190","NICE평가정보",20000,-150,-0.74,789,25.35,4263,4.69,275,1.38
"165","008260","NI스틸",3870,-65,-1.65,424,9.13,4246,0.91,50,1.29
"166","004250","NPC",6080,-130,-2.09,449,13.54,7011,0.87,100,1.64
"167","004255","NPC우",3180,5,0.16,NA,NA,NA,NA,105,3.3
"168","010060","OCI",127000,500,0.4,NA,NA,98159,1.29,0,0
"169","078590","OQP",2380,0,0,NA,NA,878,2.71,0,0
"170","178920","PI첨단소재",45950,-1050,-2.23,1421,32.34,9633,4.77,711,1.55
"171","024940","PN풍년",5910,-380,-6.04,256,23.09,3955,1.49,25,0.42
"172","005490","POSCO",300500,2500,0.84,20165,14.9,508464,0.59,8000,2.66
"173","218410","RFHIC",31000,-500,-1.59,83,373.49,8062,3.85,100,0.32
"174","327260","RF머트리얼즈",23500,-1050,-4.28,NA,NA,8113,2.9,0,0
"175","091340","S&K폴리텍",5620,10,0.18,NA,NA,7792,0.72,250,4.45
"176","010950","S-Oil",1e+05,-2500,-2.44,NA,NA,48733,2.05,0,0
"177","010955","S-Oil우",61000,-1200,-1.93,NA,NA,NA,NA,25,0.04
"178","019550","SBI인베스트먼트",1820,-15,-0.82,86,21.16,673,2.7,0,0
"179","034120","SBS",48850,-3350,-6.42,NA,NA,28014,1.74,0,0
"180","101060","SBS미디어홀딩스",2110,-55,-2.54,NA,NA,3617,0.58,0,0
"181","046140","SBS콘텐츠허브",8740,280,3.31,389,22.47,7102,1.23,0,0
"182","036120","SCI평가정보",3385,-60,-1.74,179,18.91,718,4.71,35,1.03
"183","099220","SDN",2195,-40,-1.79,176,12.47,1873,1.17,0,0
